,id,best_precision,mean_precision,best_recall,mean_recall,best_f1,mean_f1,annotator_0_precision,annotator_0_recall,annotator_0_f1,annotator_0_tp,annotator_0_fp,annotator_0_fn,annotator_1_precision,annotator_1_recall,annotator_1_f1,annotator_1_tp,annotator_1_fp,annotator_1_fn,annotator_2_precision,annotator_2_recall,annotator_2_f1,annotator_2_tp,annotator_2_fp,annotator_2_fn,annotator_3_precision,annotator_3_recall,annotator_3_f1,annotator_3_tp,annotator_3_fp,annotator_3_fn,annotator_4_precision,annotator_4_recall,annotator_4_f1,annotator_4_tp,annotator_4_fp,annotator_4_fn,annotator_5_precision,annotator_5_recall,annotator_5_f1,annotator_5_tp,annotator_5_fp,annotator_5_fn,annotator_6_precision,annotator_6_recall,annotator_6_f1,annotator_6_tp,annotator_6_fp,annotator_6_fn,annotator_7_precision,annotator_7_recall,annotator_7_f1,annotator_7_tp,annotator_7_fp,annotator_7_fn
0,250087,0.257709503611143,0.2383812908403072,0.7392141756548536,0.6624815980576724,0.3636823043881075,0.34923773488368626,0.257709503611143,0.5666750693219057,0.3542947202521671,2248,6475,1719,0.2199931216324659,0.7392141756548536,0.33907589009629824,1919,6804,677,0.22217127135159923,0.6733842946490618,0.33410912852340313,1938,6785,940,0.24452596583744124,0.6477376252657151,0.35502663115845534,2133,6590,1160,0.24750659176888684,0.6853968253968254,0.3636823043881075,2159.0,6564.0,991,,,,,,,,,,,,,,,,,,
1,259060,0.22787202447914323,0.15720649777257795,0.9604187111547269,0.8957519549418962,0.3511667417912,0.2641628336202261,0.12802051928182515,0.9294348252205161,0.22504350577440277,2845,19378,216,0.15047473338433154,0.9164154562893944,0.25850340136054417,3344,18879,305,0.13211537596184134,0.9604187111547269,0.2322784810126582,2936,19287,121,0.14754983575574854,0.9073049252905369,0.25382203816232535,3279,18944,335,0.22787202447914323,0.7651858567543064,0.3511667417912,5064.0,17159.0,1554,,,,,,,,,,,,,,,,,,
2,140006,0.4022390798972226,0.22454015253476897,0.9697640117994101,0.9364940654733397,0.5686240595001297,0.35231030613055675,0.1697663036828582,0.9253084361453818,0.28689583871801494,2775,13571,224,0.14333781965006728,0.9268196202531646,0.24827805446646178,2343,14003,185,0.13630245931726417,0.9432684165961049,0.2381868719264486,2228,14118,134,0.32179126391777807,0.944683908045977,0.4800584101487634,5260,11086,308,0.4022390798972226,0.9697640117994101,0.5686240595001297,6575.0,9771.0,205,0.17380398874342345,0.90912,0.29181860202352217,2841.0,13505.0,284,,,,,,,,,,,,
3,106047,0.271,0.18270000000000003,0.8161044613710555,0.7024719922346893,0.39750641730839753,0.28425231209935564,0.1955,0.4785801713586291,0.27760028399006037,782,3218,852,0.12675,0.728448275862069,0.21592844974446337,507,3493,189,0.13275,0.7436974789915967,0.22528638099278744,531,3469,183,0.1875,0.8161044613710555,0.3049400284610694,750,3250,169,0.271,0.7455295735900963,0.39750641730839753,1084.0,2916.0,370,,,,,,,,,,,,,,,,,,
4,279005,0.2973593570608496,0.2069173363949483,0.7501810282404056,0.6104215534639228,0.4258992805755396,0.30841872828403244,0.11122273249138921,0.39320142059868085,0.17339747175299253,775,6193,1196,0.17393800229621126,0.5271857329273597,0.26157332470055034,1212,5756,1087,0.21125143513203215,0.6458973233874507,0.3183735265491511,1472,5496,807,0.24081515499425948,0.7356422621657168,0.3628500378419289,1678,5290,603,0.2973593570608496,0.7501810282404056,0.4258992805755396,2072.0,4896.0,690,,,,,,,,,,,,,,,,,,
5,5096,0.2952147701582517,0.26539186134137155,0.7414965986394558,0.6827028999237019,0.4132383966244726,0.38101432300761334,0.2952147701582517,0.6884885764499121,0.4132383966244726,3134,7482,1418,0.24227581009796534,0.5973060845332094,0.3447259080552204,2572,8044,1734,0.275904295403165,0.7182442373712604,0.3986661222267592,2929,7687,1149,0.2876789751318764,0.6679790026246719,0.402159599683961,3054,7562,1518,0.2258854559155991,0.7414965986394558,0.34628158844765344,2398.0,8218.0,836,,,,,,,,,,,,,,,,,,
6,246009,0.169438202247191,0.1208689138576779,0.8377125193199382,0.741561818422619,0.26605504587155965,0.20548784515008287,0.097438202247191,0.8377125193199382,0.1745712215154199,1084,10041,210,0.09042696629213483,0.7195994277539342,0.1606643775453166,1006,10119,392,0.1390561797752809,0.7583333333333333,0.23501709077098365,1547,9578,493,0.10355056179775281,0.7983367983367984,0.1833227243793762,1152,9973,291,0.12530337078651685,0.7163412127440905,0.21329661081784101,1394.0,9731.0,552,0.169438202247191,0.6190476190476191,0.26605504587155965,1885.0,9240.0,1160,,,,,,,,,,,,
7,48017,0.11446707589285714,0.09331752232142858,0.9256756756756757,0.8083002594983293,0.19769893379916872,0.16620302617915333,0.07645089285714286,0.9256756756756757,0.14123711340206188,1096,13240,88,0.07484654017857142,0.9054852320675105,0.13826428709490368,1073,13263,112,0.11446707589285714,0.7245033112582782,0.19769893379916872,1641,12695,624,0.10170200892857142,0.7641509433962265,0.1795124353607486,1458,12878,450,0.09912109375,0.7216861350939563,0.1743023612388838,1421.0,12915.0,548,,,,,,,,,,,,,,,,,,
8,10081,0.3801732435033686,0.2395435171181081,0.8996160175534833,0.7933896605270013,0.5310669355613176,0.3619275152316849,0.23264127595215178,0.5920223932820154,0.33402428190701805,1692,5581,1166,0.22549154406709748,0.8996160175534833,0.3605980650835532,1640,5633,183,0.14148219441770934,0.7661950856291884,0.23885793871866295,1029,6244,314,0.2179293276502131,0.8285415577626765,0.3450903548878729,1585,5688,328,0.3801732435033686,0.8805732484076433,0.5310669355613176,2765.0,4508.0,375,,,,,,,,,,,,,,,,,,
9,36046,0.4300154188795614,0.35826052195762664,0.8307692307692308,0.7557870719975147,0.5283654352173456,0.4832216862390499,0.3515504540003426,0.8307692307692308,0.49404117009750814,2052,3785,418,0.31917080692136374,0.7607186606778277,0.44967414916727005,1863,3974,586,0.3142025012849066,0.7519475194751948,0.4432092798453359,1834,4003,605,0.3548055507966421,0.8234592445328032,0.49592911877394635,2071,3766,444,0.4300154188795614,0.6850436681222707,0.5283654352173456,2510.0,3327.0,1154,0.3798183998629433,0.682784108407761,0.4881109643328931,2217.0,3620.0,1030,,,,,,,,,,,,
