,id,best_precision,mean_precision,best_recall,mean_recall,best_f1,mean_f1,annotator_0_precision,annotator_0_recall,annotator_0_f1,annotator_0_tp,annotator_0_fp,annotator_0_fn,annotator_1_precision,annotator_1_recall,annotator_1_f1,annotator_1_tp,annotator_1_fp,annotator_1_fn,annotator_2_precision,annotator_2_recall,annotator_2_f1,annotator_2_tp,annotator_2_fp,annotator_2_fn,annotator_3_precision,annotator_3_recall,annotator_3_f1,annotator_3_tp,annotator_3_fp,annotator_3_fn,annotator_4_precision,annotator_4_recall,annotator_4_f1,annotator_4_tp,annotator_4_fp,annotator_4_fn,annotator_5_precision,annotator_5_recall,annotator_5_f1,annotator_5_tp,annotator_5_fp,annotator_5_fn,annotator_6_precision,annotator_6_recall,annotator_6_f1,annotator_6_tp,annotator_6_fp,annotator_6_fn,annotator_7_precision,annotator_7_recall,annotator_7_f1,annotator_7_tp,annotator_7_fp,annotator_7_fn
0,250087,0.7466367713004485,0.7089686098654708,0.2527881040892193,0.21215981866004613,0.36945366737096286,0.3252427397421686,0.7466367713004485,0.17258357087328324,0.2803620290465165,666,226,3193,0.6860986547085202,0.2527881040892193,0.36945366737096286,612,280,1809,0.6614349775784754,0.21454545454545454,0.3239978034047226,590,302,2160,0.7130044843049327,0.20184068549666773,0.3146178580262181,636,256,2515,0.7376681614349776,0.21904127829560585,0.33778234086242304,658.0,234.0,2346,,,,,,,,,,,,,,,,,,
1,259060,0.5190298507462686,0.4123880597014925,0.43546284224250326,0.3796417104981981,0.41906873614190693,0.38658137160850814,0.35447761194029853,0.4105445116681072,0.3804565478574289,950,1730,1364,0.3914179104477612,0.37585094948047293,0.383476512520563,1049,1631,1742,0.3738805970149254,0.43546284224250326,0.40232884962858867,1002,1678,1299,0.42313432835820897,0.4150805270863836,0.41906873614190693,1134,1546,1598,0.5190298507462686,0.26126972201352366,0.34757621189405297,1391.0,1289.0,3933,,,,,,,,,,,,,,,,,,
2,140006,0.5854511541151783,0.30197404212326107,0.5176252319109462,0.4398019287448119,0.5494529540481401,0.34366762611055757,0.19002098391233388,0.38754160722776987,0.2550062578222778,815,3474,1288,0.18908836558638378,0.4191214470284238,0.2606041131105399,811,3478,1124,0.19888085800885988,0.48465909090909093,0.2820300876177881,853,3436,907,0.4686407087899277,0.49288867091711625,0.4804589458587307,2010,2279,2068,0.5854511541151783,0.5176252319109462,0.5494529540481401,2511.0,1778.0,2340,0.17976218232688274,0.3369755244755245,0.23445339820586894,771.0,3518.0,1517,,,,,,,,,,,,
3,106047,0.8355555555555556,0.5724444444444444,0.2133938706015891,0.13369255190690119,0.3399638336347197,0.21320088040345736,0.48,0.06513872135102533,0.11471056824216676,108,117,1550,0.4177777777777778,0.13314447592067988,0.2019334049409237,94,131,612,0.43555555555555553,0.1469265367316342,0.21973094170403587,98,127,569,0.8355555555555556,0.2133938706015891,0.3399638336347197,188,37,693,0.6933333333333334,0.10985915492957747,0.18966565349544073,156.0,69.0,1264,,,,,,,,,,,,,,,,,,
4,279005,0.9015151515151515,0.7606060606060605,0.22359940505701537,0.18299288252070114,0.35442043222003927,0.29460305607445453,0.5700757575757576,0.15140845070422534,0.239268680445151,301,227,1687,0.6287878787878788,0.1516674280493376,0.24438719175561283,332,196,1857,0.8541666666666666,0.22359940505701537,0.35442043222003927,451,77,1566,0.8484848484848485,0.2040072859744991,0.328928046989721,448,80,1748,0.9015151515151515,0.1842818428184282,0.30601092896174864,476.0,52.0,2107,,,,,,,,,,,,,,,,,,
5,5096,1.0,0.9914691943127962,0.07293466989284479,0.05613782807162292,0.13595360824742267,0.1061391632839976,1.0,0.05029797377830751,0.09577848388561053,211,0,3984,1.0,0.05426954732510288,0.1029519394974384,211,0,3677,1.0,0.055511707445409106,0.10518444666001996,211,0,3590,0.957345971563981,0.04767524191645032,0.09082733812949642,202,9,4035,1.0,0.07293466989284479,0.13595360824742267,211.0,0.0,2682,,,,,,,,,,,,,,,,,,
6,246009,0.4635854341736695,0.3330999066293184,0.1729200652528548,0.13762342224750343,0.2491186839012926,0.19140920654860136,0.25910364145658266,0.1494345718901454,0.18954918032786885,185,529,1053,0.25630252100840334,0.13426265590608952,0.1762156957149735,183,531,1180,0.44537815126050423,0.1729200652528548,0.2491186839012926,318,396,1521,0.2619047619047619,0.1364963503649635,0.17946257197696736,187,527,1183,0.3123249299719888,0.12192454893384364,0.17538340542666145,223.0,491.0,1606,0.4635854341736695,0.11070234113712375,0.17872570194384452,331.0,383.0,2659,,,,,,,,,,,,
7,48017,0.10663082437275985,0.08019713261648745,0.3669623059866962,0.26652582195471963,0.14784904488274575,0.12091053790883341,0.07414874551971326,0.3669623059866962,0.1233693626537458,331,4133,571,0.06362007168458782,0.3050483351235231,0.10528266913809083,284,4180,647,0.10663082437275985,0.2410126582278481,0.14784904488274575,476,3988,1499,0.08019713261648745,0.21842586943258085,0.1173193511387842,358,4106,1281,0.0763888888888889,0.20117994100294986,0.11073226173080047,341.0,4123.0,1354,,,,,,,,,,,,,,,,,,
8,10081,0.731359649122807,0.49802631578947365,0.3641509433962264,0.23563520750182212,0.46282973621103113,0.31426847666864405,0.41885964912280704,0.14469696969696969,0.21509009009009009,382,530,2258,0.6348684210526315,0.3641509433962264,0.46282973621103113,579,333,1011,0.27850877192982454,0.20047355958958168,0.23313446535107846,254,658,1013,0.42653508771929827,0.2252460914881297,0.2948086396362259,389,523,1338,0.731359649122807,0.24360847333820307,0.36547945205479454,667.0,245.0,2071,,,,,,,,,,,,,,,,,,
9,36046,0.8742393509127789,0.8468559837728193,0.19387288523090992,0.16733258977932916,0.31641791044776124,0.2785213578617736,0.8600405679513184,0.19387288523090992,0.31641791044776124,424,69,1763,0.7525354969574036,0.1618673647469459,0.26642728904847396,371,122,1921,0.8661257606490872,0.19234234234234235,0.31478068558791006,427,66,1793,0.8661257606490872,0.18429003021148035,0.3039145907473309,427,66,1890,0.8742393509127789,0.12919664268585132,0.22512405327761817,431.0,62.0,2905,0.8620689655172413,0.14242627345844505,0.24446361806154734,425.0,68.0,2559,,,,,,,,,,,,
