,id,precision,recall,f1,tp,fp,fn
0,100007,0.14285714285714285,0.054405677114133646,0.07880085653104925,92,552,1599
1,100039,0.12952180967834304,0.4911328266377126,0.2049848942598187,1357,9120,1406
2,100099,0.1769094138543517,0.22595281306715065,0.19844590555887628,498,2317,1706
3,10081,0.22390350877192983,0.4753258845437616,0.3044126416219439,2042,7078,2254
4,101027,0.22333856619570905,0.6104118993135011,0.32702474906137463,2134,7421,1362
5,101084,0.0,0.0,0.0,0,12855,0
6,102062,0.22901420576840292,0.6520749430922781,0.3389768796650282,3724,12537,1987
7,103006,0.1392133668490315,0.7259059367771781,0.2336228287841191,1883,11643,711
8,103029,0.2398753894080997,0.0291998483124763,0.05206220419202163,77,244,2560
9,103078,0.2475633528265107,0.14555873925501434,0.18332731865752436,508,1544,2982
10,104010,0.0,0.0,0.0,0,61580,0
11,104055,0.0,0.0,0.0,0,3034,0
12,105027,0.13259052924791087,0.41754385964912283,0.20126849894291757,952,6228,1328
13,106005,0.13441955193482688,0.07538549400342662,0.09659714599341383,132,850,1619
14,106047,0.1513353115727003,0.11558073654390935,0.13106328300674594,204,1144,1561
15,107014,0.15889709502708024,0.8449937159614579,0.2674933275864927,8068,42707,1480
16,107045,0.17615097829542498,0.8613623516110797,0.2924874631091489,6095,28506,981
17,107072,0.19614909734040778,0.7960455037919827,0.31474391582554684,5878,24089,1506
18,108004,0.11080001493261657,0.8212506917542889,0.19525673497582316,2968,23819,646
19,108036,0.20669911251073575,0.6843601895734597,0.3175021987686895,3610,13855,1665
20,108069,0.07014822113671146,0.9557269351613824,0.130703125,3346,44353,155
21,109055,0.11055408970976253,0.7747781065088757,0.1934977371386349,2095,16855,609
22,112056,0.17559523809523808,0.07036374478234943,0.10046828437633035,118,554,1559
23,112090,0.46030121362772336,0.37272081458678663,0.411907098462545,3148,3691,5298
24,117025,0.0,0.0,0.0,0,4876,0
25,118015,0.21645850892651905,0.7594086021505376,0.3368910619521794,5650,20452,1790
26,118031,0.13798892821490152,0.735607160135462,0.2323857557695247,3041,18997,1093
27,118072,0.21893189755529685,0.9266064463149251,0.35418056263977715,9027,32205,715
28,120003,0.34235871342903873,0.5735741830728638,0.428782763721883,5652,10857,4202
29,120093,0.21819614021268216,0.725130890052356,0.3354526188313654,4986,17865,1890
30,123057,0.2508469982382437,0.4581683168316832,0.32419651458096155,1851,5528,2189
31,128035,0.2976290191085648,0.9619896762083529,0.4546074852444475,26650,62891,1053
32,130014,0.0,0.0,0.0,0,7347,0
33,130066,0.22467694872863694,0.6267441860465116,0.3307763117520712,2695,9300,1605
34,134049,0.3400316734119303,0.8463559915907498,0.485149757726394,9662,18753,1754
35,134067,0.0,0.0,0.0,0,34690,0
36,140006,0.0,0.0,0.0,0,35372,0
37,140088,0.0,0.0,0.0,0,32316,0
38,14085,0.10551048951048951,0.9568746829020801,0.19006348886425475,7544,63956,340
39,14092,0.2073200516381145,0.7940665508485901,0.3287959274015051,5942,22719,1541
40,141012,0.0828130916959697,0.983931096541972,0.15276835256077603,7654,84771,125
41,141048,0.07045251241555878,0.7969295184926727,0.12946011052855322,2284,30135,582
42,145059,0.2631578947368421,0.9480498635707024,0.41196368581956827,17720,49616,971
43,145079,0.34745120166452137,0.9436808581964465,0.5079000953681986,19705,37008,1176
44,146074,0.24599019363417268,0.7026706231454006,0.3644086054599735,5920,18146,2505
45,147077,0.0,0.0,0.0,0,92894,0
46,147080,0.20421801124306616,0.8719599427753935,0.3309302606177606,10971,42751,1611
47,15011,0.33210486421495594,0.8411784177424694,0.47620118431901653,12706,25553,2399
48,15062,0.16877465326377403,0.8819148936170212,0.283327993164584,6632,32663,888
49,156054,0.0,0.0,0.0,0,16883,0
50,157032,0.15357683164037172,0.6857749469214437,0.25095352450911146,3553,19582,1628
51,157087,0.2787183811129848,0.6517350157728706,0.3904559414127096,4132,10693,2208
52,159002,0.0,0.0,0.0,0,75911,0
53,159022,0.12913183890577506,0.7033109156751164,0.21820078645373564,2719,18337,1147
54,160006,0.20410109680495947,0.3667523564695801,0.2622549019607843,1284,5007,2217
